Departamento,Valor
Caqueta,1304000.722
Narino,2385000
Putumayo,1075000
Cauca,1593333.333
Bolivar,298333.3333
Cordoba,925000
Magdalena,1304000.722
Sucre,578333.3333
Atlantico,1304000.722
Guajira,1304000.722
Cesar,1304000.722
Santander,917619.0476
N de Santander,1304000.722
Tolima,1304000.722
Huila,2277380.952
Caldas,1304000.722
Quindio,1304000.722
Risaralda,1304000.722
Meta,1304000.722
Casanare,1304000.722
Vichada,1304000.722
Arauca,1304000.722
Boyaca,1339841.27
Cundinamarca,1387500
Antioquia,1304000.722
Valle del Cauca,1304000.722
Amazonas,1304000.722
Choco,1304000.722
San Andres,1304000.722
Guaviare,1304000.722
Vaupes,1304000.722
Guainia,1304000.722
