ACTIVIDADES,UNIDAD,Cantidad,Valor_Uni,Costo
Semovientes/Alevinos,Unidad,,,
Mant. Pastura/instalaciones,Jornal,,,
Alimento y mant. Animales,Jornal,,,
Ordeno/Sacrificio/Pesca,Jornal,,,
Fertilizante/Cal,kg,,,
Insecticida,lt,,,
Herbicida,lt,,,
Semilla,kg,,,
Sal mineralizada/Melaza,kg,,,
Hormonas,cm3,,,
Medicamentos,Dosis,,,
Vacunas,Dosis,,,
Vitaminas y Suplementos,Dosis,,,
Alimento,kg,,,
Mecanizacion,Global,,,
Materiales mant animales,Global,,,
Materiales pastura/instalaciones,Global,,,
Materiales ordeno/sacrificio,Global,,,
Transporte,Global,,,
Adecuaciones/instalaciones,Global,,,
Arriendo,Global,,,
Imprevistos,Global,,,
